,beginTime,dataId,gemo,imageCloudage,imageProductType,imageResolution,imageRowCol,imageSatelliteType,imageSensorType,imageSpectrumType,isDel,name,range,thumbnailPath
3729,2017-09-02 10:04:57,00010883c5b07089443cb79dad33818d63ef,,0.0,0102,{3.00},,PL,,{DGP},0,20170902_020457_100c_planet_ortho_49.48N_122.5E,"{""type"":""MultiPolygon"",""coordinates"":[[[[122.33665,49.546494],[122.3081,49.472298],[122.66284,49.41465],[122.69125,49.489002],[122.33665,49.546494]]]]}",/data/PL/20170902/20170902_020457_100c_planet_ortho_49.48N_122.5E/20170902_020457_100c_planet_ortho_49.48N_122.5E
3730,2017-09-02 10:04:57,000152bb8048196d47aea893fc96ae5ff713,,0.0,0102,{3.00},,PL,,{DGP},0,20170902_020457_0e14_planet_ortho_51.24N_123.53E,"{""type"":""MultiPolygon"",""coordinates"":[[[[123.35976,51.30056],[123.33012,51.226585],[123.69288,51.17019],[123.721924,51.243996],[123.35976,51.30056]]]]}",/data/PL/20170902/20170902_020457_0e14_planet_ortho_51.24N_123.53E/20170902_020457_0e14_planet_ortho_51.24N_123.53E
3731,2017-09-02 10:04:57,0001cb93b11760574b24a0aeadc8776cb671,,0.0,0102,{3.00},,PL,,{DGP},0,20170902_020457_1008_planet_ortho_28.29N_117.59E,"{""type"":""MultiPolygon"",""coordinates"":[[[[117.4723,28.352856],[117.45466,28.277737],[117.716705,28.229897],[117.734,28.304935],[117.4723,28.352856]]]]}",/data/PL/20170902/20170902_020457_1008_planet_ortho_28.29N_117.59E/20170902_020457_1008_planet_ortho_28.29N_117.59E
3732,2017-09-02 10:04:58,00014d902ec0146941dc84b2061d0eb8c2d1,,0.0,0102,{3.00},,PL,,{DGP},0,20170902_020458_100c_planet_ortho_49.42N_122.47E,"{""type"":""MultiPolygon"",""coordinates"":[[[[122.31086,49.482082],[122.28242,49.407917],[122.63661,49.35034],[122.66502,49.42469],[122.31086,49.482082]]]]}",/data/PL/20170902/20170902_020458_100c_planet_ortho_49.42N_122.47E/20170902_020458_100c_planet_ortho_49.42N_122.47E
3733,2017-09-02 10:04:58,000106811b2e9d8341ccbaee57d16f711df5,,0.0,0102,{3.00},,PL,,{DGP},0,20170902_020458_1008_planet_ortho_28.23N_117.58E,"{""type"":""MultiPolygon"",""coordinates"":[[[[117.45714,28.2876],[117.43954,28.212486],[117.70139,28.164663],[117.71867,28.239702],[117.45714,28.2876]]]]}",/data/PL/20170902/20170902_020458_1008_planet_ortho_28.23N_117.58E/20170902_020458_1008_planet_ortho_28.23N_117.58E
3734,2017-09-02 10:04:59,0001a1e6537cd5ee45fdaa915c952f2e5b2b,,0.0,0102,{3.00},,PL,,{DGP},0,20170902_020459_0e14_planet_ortho_51.17N_123.5E,"{""type"":""MultiPolygon"",""coordinates"":[[[[123.33307,51.238483],[123.303894,51.164425],[123.66617,51.10814],[123.69506,51.18198],[123.33307,51.238483]]]]}",/data/PL/20170902/20170902_020459_0e14_planet_ortho_51.17N_123.5E/20170902_020459_0e14_planet_ortho_51.17N_123.5E
3735,2017-09-02 10:04:59,000188f314eaab0d4a5897e8ee2e2f17a95d,,0.0,0102,{3.00},,PL,,{DGP},0,20170902_020459_100c_planet_ortho_49.35N_122.45E,"{""type"":""MultiPolygon"",""coordinates"":[[[[122.285095,49.417114],[122.25673,49.342888],[122.6105,49.28533],[122.63872,49.35972],[122.285095,49.417114]]]]}",/data/PL/20170902/20170902_020459_100c_planet_ortho_49.35N_122.45E/20170902_020459_100c_planet_ortho_49.35N_122.45E
3736,2017-09-02 10:04:59,0001adac453621cb43ab8a80e4c66b2f32fd,,0.0,0102,{3.00},,PL,,{DGP},0,20170902_020459_1008_planet_ortho_28.16N_117.56E,"{""type"":""MultiPolygon"",""coordinates"":[[[[117.441795,28.22148],[117.42427,28.146349],[117.685844,28.098618],[117.70311,28.173672],[117.441795,28.22148]]]]}",/data/PL/20170902/20170902_020459_1008_planet_ortho_28.16N_117.56E/20170902_020459_1008_planet_ortho_28.16N_117.56E
3737,2017-09-02 10:05:00,00018ecaff4ed92843f6a9a92c8a73e23e13,,0.0,0102,{3.00},,PL,,{DGP},0,20170902_020500_0e14_planet_ortho_51.11N_123.48E,"{""type"":""MultiPolygon"",""coordinates"":[[[[123.30955,51.175083],[123.28072,51.100967],[123.64239,51.044964],[123.67115,51.118835],[123.30955,51.175083]]]]}",/data/PL/20170902/20170902_020500_0e14_planet_ortho_51.11N_123.48E/20170902_020500_0e14_planet_ortho_51.11N_123.48E
3738,2017-09-02 10:05:00,000182e4d323cb3145b1806263790426d2d3,,0.0,0102,{3.00},,PL,,{DGP},0,20170902_020500_100c_planet_ortho_49.29N_122.42E,"{""type"":""MultiPolygon"",""coordinates"":[[[[122.26023,49.351055],[122.23188,49.27684],[122.585236,49.21929],[122.61344,49.293648],[122.26023,49.351055]]]]}",/data/PL/20170902/20170902_020500_100c_planet_ortho_49.29N_122.42E/20170902_020500_100c_planet_ortho_49.29N_122.42E
3739,2017-09-02 10:05:00,0001e42b81ee1dbc4eeeb0447c626f62315d,,0.0,0102,{3.00},,PL,,{DGP},0,20170902_020500_1008_planet_ortho_28.09N_117.55E,"{""type"":""MultiPolygon"",""coordinates"":[[[[117.42673,28.155344],[117.40933,28.080187],[117.67067,28.032476],[117.68794,28.107517],[117.42673,28.155344]]]]}",/data/PL/20170902/20170902_020500_1008_planet_ortho_28.09N_117.55E/20170902_020500_1008_planet_ortho_28.09N_117.55E
3740,2017-09-02 10:05:01,000157aafa688f334d448ab2e00f52c30384,,0.0,0102,{3.00},,PL,,{DGP},0,20170902_020501_0e14_planet_ortho_51.05N_123.45E,"{""type"":""MultiPolygon"",""coordinates"":[[[[123.287796,51.110123],[123.25898,51.036045],[123.62018,50.980263],[123.64868,51.05416],[123.287796,51.110123]]]]}",/data/PL/20170902/20170902_020501_0e14_planet_ortho_51.05N_123.45E/20170902_020501_0e14_planet_ortho_51.05N_123.45E
